"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","871","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","0","84","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","30","1","0.000000","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","0","33","1","0.000000","0","0"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","0","76","1","0.000000","0","0"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","76","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","30","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/AdvancedCelShader/CelShader/Materials/CelShader.CelShader","0","0","66","2","0.000000","0","0"
"/Game/Platformer/Ocean/Materials/M_OceanWater_1.M_OceanWater_1","0","0","148","2","0.000000","0","0"
"/Game/Platformer/Materials/M_Wood_Dark_Parent.M_Wood_Dark_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plastic_Blue_Pattern_Parent.M_Plastic_Blue_Pattern_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plastic_black_Parent.M_Plastic_black_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Grass_nopattern.M_Grass_nopattern","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Grass.M_Grass","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Tree.M_Tree","0","0","43","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Metal_Black_Parent.M_Metal_Black_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Cliff.M_Cliff","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plants.M_Plants","0","0","48","1","0.000000","0","0"
"/Game/Platformer/Materials/M_GrassTrim.M_GrassTrim","0","0","48","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Crate_Light_Parent.M_Crate_Light_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Cloud.M_Cloud","0","0","43","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_BeanStalk.M_BeanStalk","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_StoneBlock.M_StoneBlock","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_Leaf.M_Leaf","0","0","21","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","0","21","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
